node_id,type,x,y
0,depot,0.0,0.0
P1,patient,0.9156994724874861,9.359025506881375
P2,patient,5.2609107772907215,8.681582133971295
P3,patient,11.735874143959233,6.461950444925204
P4,patient,6.013445563919255,0.8646136003171385
P5,patient,3.221267761222454,5.998590009906719
P6,patient,8.150759953451285,9.644868433252505
P7,patient,4.571293597782461,0.7912361628708613
P8,patient,3.4577471916959226,10.915122332635363
P9,patient,2.560624242958986,5.425487541812197
P10,patient,11.174472236268262,0.29879073060417616
P11,patient,7.20658700956947,11.401554004963748
P12,patient,2.7636345482515776,6.581879030832365
P13,patient,10.909540498640775,1.598033349111002
P14,patient,6.28095096808519,9.004918309224418
P15,patient,8.028158890606965,5.6130343169397685
P16,patient,2.458189083573541,5.889190669092845
P17,patient,4.468616272620707,5.728813858219061
P18,patient,4.390684629367115,10.055015931711127
P19,patient,9.22377007823411,3.767936126551946
P20,patient,6.871503991727447,3.312588579968341
P21,patient,5.434115190556804,4.235740391332737
P22,patient,7.8887935533570985,4.4442129958564225
P23,patient,5.509115734697177,8.631889470108499
P24,patient,4.955901949366015,10.877079229972065
P25,patient,2.165419430432179,8.89342647495917
P26,patient,5.068488523717685,5.117442872219308
P27,patient,7.612558423606066,6.274874412340143
P28,patient,4.978631741273318,0.01712256675309831
P29,patient,1.107148150161025,8.512732724702552
P30,patient,6.292147161182367,8.353925562203628
